Date,Price
2013-01-03,267.52
2013-01-04,266.14
2013-01-07,265.97
2013-01-08,263.95
2013-01-09,262.9
2013-01-10,264.95
2013-01-11,263.32
2013-01-14,264.8
2013-01-15,261.43
2013-01-16,260.49
2013-01-17,260.1
2013-01-18,261.71
2013-01-21,261.3
2013-01-22,262.91
2013-01-23,261.1
2013-01-24,258.74
2013-01-25,256.06
2013-01-28,254.66
2013-01-29,257.22
2013-01-30,258.47
2013-01-31,258.07
2013-02-01,257.64
2013-02-04,256.89
2013-02-05,254.82
2013-02-06,254.31
2013-02-07,254.0
2013-02-08,257.09
2013-02-12,256.65
2013-02-13,260.92
2013-02-14,261.44
2013-02-15,261.61
2013-02-18,261.63
2013-02-19,262.16
2013-02-20,268.07
2013-02-21,266.85
2013-02-22,267.15
2013-02-25,266.01
2013-02-26,264.68
2013-02-27,265.04
2013-02-28,268.01
2013-03-04,266.14
2013-03-05,266.54
2013-03-06,267.25
2013-03-07,264.78
2013-03-08,264.57
2013-03-11,264.15
2013-03-12,262.43
2013-03-13,263.33
2013-03-14,263.37
2013-03-15,260.84
2013-03-18,258.3
2013-03-19,259.79
2013-03-20,257.04
2013-03-21,255.82
2013-03-22,255.33
2013-03-25,259.58
2013-03-26,260.54
2013-03-27,261.86
2013-03-28,261.86
2013-03-29,263.39
2013-04-01,262.27
2013-04-02,260.79
2013-04-03,260.36
2013-04-04,257.05
2013-04-05,252.77
2013-04-08,252.39
2013-04-09,252.53
2013-04-10,254.34
2013-04-11,256.18
2013-04-12,252.0
2013-04-15,251.51
2013-04-16,251.78
2013-04-17,251.51
2013-04-18,247.85
2013-04-19,248.77
2013-04-22,251.46
2013-04-23,250.01
2013-04-24,252.0
2013-04-25,254.49
2013-04-26,253.04
2013-04-29,252.25
2013-04-30,255.72
2013-05-02,254.92
2013-05-03,256.02
2013-05-06,255.2
2013-05-07,253.84
2013-05-08,254.02
2013-05-09,257.53
2013-05-10,252.72
2013-05-13,253.29
2013-05-14,256.29
2013-05-15,256.6
2013-05-16,258.99
2013-05-20,258.6
2013-05-21,258.18
2013-05-22,260.19
2013-05-23,256.66
2013-05-24,257.32
2013-05-27,258.19
2013-05-28,258.59
2013-05-29,260.92
2013-05-30,261.21
2013-05-31,261.47
2013-06-03,260.29
2013-06-04,260.54
2013-06-05,256.51
2013-06-07,251.2
2013-06-10,252.2
2013-06-11,250.19
2013-06-12,248.5
2013-06-13,244.49
2013-06-14,245.36
2013-06-17,244.77
2013-06-18,247.13
2013-06-19,245.44
2013-06-20,240.26
2013-06-21,236.57
2013-06-24,233.47
2013-06-25,231.75
2013-06-26,231.52
2013-06-27,238.65
2013-06-28,242.27
2013-07-01,241.05
2013-07-02,240.8
2013-07-03,236.63
2013-07-04,238.56
2013-07-05,237.28
2013-07-08,235.12
2013-07-09,236.94
2013-07-10,236.23
2013-07-11,243.88
2013-07-12,242.72
2013-07-15,243.43
2013-07-16,242.02
2013-07-17,244.82
2013-07-18,242.92
2013-07-19,242.03
2013-07-22,243.18
2013-07-23,246.63
2013-07-24,247.84
2013-07-25,247.71
2013-07-26,247.8
2013-07-29,246.53
2013-07-30,248.78
2013-07-31,247.99
2013-08-01,248.89
2013-08-02,249.33
2013-08-05,248.25
2013-08-06,246.8
2013-08-07,242.75
2013-08-08,243.39
2013-08-09,243.13
2013-08-12,243.78
2013-08-13,248.2
2013-08-14,249.82
2013-08-16,249.23
2013-08-19,248.89
2013-08-20,245.13
2013-08-21,242.49
2013-08-22,240.37
2013-08-23,243.37
2013-08-26,245.71
2013-08-27,245.71
2013-08-28,245.67
2013-08-29,248.86
2013-08-30,251.74
2013-09-02,251.13
2013-09-03,252.05
2013-09-04,252.15
2013-09-05,254.62
2013-09-06,255.25
2013-09-09,258.12
2013-09-10,261.2
2013-09-11,262.38
2013-09-12,262.32
2013-09-13,260.83
2013-09-16,263.86
2013-09-17,262.56
2013-09-23,263.02
2013-09-24,262.83
2013-09-25,261.45
2013-09-26,262.68
2013-09-27,262.94
