Date,Price
2013-01-02,1462.4
2013-01-03,1459.4
2013-01-04,1466.5
2013-01-07,1461.9
2013-01-08,1457.2
2013-01-09,1461.0
2013-01-10,1472.1
2013-01-11,1472.0
2013-01-14,1470.7
2013-01-15,1472.3
2013-01-16,1472.6
2013-01-17,1480.9
2013-01-18,1486.0
2013-01-22,1492.6
2013-01-23,1494.8
2013-01-24,1494.8
2013-01-25,1503.0
2013-01-28,1500.2
2013-01-29,1507.8
2013-01-30,1502.0
2013-01-31,1498.1
2013-02-01,1513.2
2013-02-04,1495.7
2013-02-05,1511.3
2013-02-06,1512.1
2013-02-07,1509.4
2013-02-08,1517.9
2013-02-11,1517.0
2013-02-12,1519.4
2013-02-13,1520.3
2013-02-14,1521.4
2013-02-15,1519.8
2013-02-19,1530.9
2013-02-20,1512.0
2013-02-21,1502.4
2013-02-22,1515.6
2013-02-25,1487.8
2013-02-26,1496.9
2013-02-27,1516.0
2013-02-28,1514.7
2013-03-01,1518.2
2013-03-04,1525.2
2013-03-05,1539.8
2013-03-06,1541.5
2013-03-07,1544.3
2013-03-08,1551.2
2013-03-11,1556.2
2013-03-12,1552.5
2013-03-13,1554.5
2013-03-14,1563.2
2013-03-15,1560.7
2013-03-18,1552.1
2013-03-19,1548.3
2013-03-20,1558.7
2013-03-21,1545.8
2013-03-22,1556.9
2013-03-25,1551.7
2013-03-26,1563.8
2013-03-27,1562.8
2013-03-28,1569.2
2013-04-01,1562.2
2013-04-02,1570.2
2013-04-03,1553.7
2013-04-04,1560.0
2013-04-05,1553.3
2013-04-08,1563.1
2013-04-09,1568.6
2013-04-10,1587.7
2013-04-11,1593.4
2013-04-12,1588.8
2013-04-15,1552.4
2013-04-16,1574.6
2013-04-17,1552.0
2013-04-18,1541.6
2013-04-19,1555.2
2013-04-22,1562.5
2013-04-23,1578.8
2013-04-24,1578.8
2013-04-25,1585.2
2013-04-26,1582.2
2013-04-29,1593.6
2013-04-30,1597.6
2013-05-01,1582.7
2013-05-02,1597.6
2013-05-03,1614.4
2013-05-06,1617.5
2013-05-07,1626.0
2013-05-08,1632.7
2013-05-09,1626.7
2013-05-10,1633.7
2013-05-13,1633.8
2013-05-14,1650.3
2013-05-15,1658.8
2013-05-16,1650.5
2013-05-17,1667.5
2013-05-20,1666.3
2013-05-21,1669.2
2013-05-22,1655.3
2013-05-23,1650.5
2013-05-24,1649.6
2013-05-28,1660.1
2013-05-29,1648.4
2013-05-30,1654.4
2013-05-31,1630.7
2013-06-03,1640.4
2013-06-04,1631.4
2013-06-05,1608.9
2013-06-06,1622.6
2013-06-07,1643.4
2013-06-10,1642.8
2013-06-11,1626.1
2013-06-12,1612.5
2013-06-13,1636.4
2013-06-14,1626.7
2013-06-17,1639.0
2013-06-18,1651.8
2013-06-19,1628.9
2013-06-20,1588.2
2013-06-21,1592.4
2013-06-24,1573.1
2013-06-25,1588.0
2013-06-26,1603.3
2013-06-27,1613.2
2013-06-28,1606.3
2013-07-01,1615.0
2013-07-02,1614.1
2013-07-03,1615.4
2013-07-05,1631.9
2013-07-08,1640.5
2013-07-09,1652.3
2013-07-10,1652.6
2013-07-11,1675.0
2013-07-12,1680.2
2013-07-15,1682.5
2013-07-16,1676.3
2013-07-17,1680.9
2013-07-18,1689.4
2013-07-19,1692.1
2013-07-22,1695.5
2013-07-23,1692.4
2013-07-24,1685.9
2013-07-25,1690.2
2013-07-26,1691.7
2013-07-29,1685.3
2013-07-30,1686.0
2013-07-31,1685.7
2013-08-01,1706.9
2013-08-02,1709.7
2013-08-05,1707.1
2013-08-06,1697.4
2013-08-07,1690.9
2013-08-08,1697.5
2013-08-09,1691.4
2013-08-12,1689.5
2013-08-13,1694.2
2013-08-14,1685.4
2013-08-15,1661.3
2013-08-16,1655.8
2013-08-19,1646.1
2013-08-20,1652.3
2013-08-21,1642.8
2013-08-22,1657.0
2013-08-23,1663.5
2013-08-26,1656.8
2013-08-27,1630.5
2013-08-28,1635.0
2013-08-29,1638.2
2013-08-30,1633.0
2013-09-03,1639.8
2013-09-04,1653.1
2013-09-05,1655.1
2013-09-06,1655.2
2013-09-09,1671.7
2013-09-10,1684.0
2013-09-11,1689.1
2013-09-12,1683.4
2013-09-13,1688.0
2013-09-16,1697.6
2013-09-17,1704.8
2013-09-18,1725.5
2013-09-19,1722.3
2013-09-20,1709.9
2013-09-23,1701.8
2013-09-24,1697.4
